"variable","pct_missing","FMI","flag"
"stop_rate_dc",4,0.079,"✓"
"benefit_dep",9.3,0.048,"✓"
"trusting",14.9,0.035,"✓"
"benefit_4",9.6,0.034,"✓"
"dbas_5",14.9,0.033,"✓"
"benefit_1",9.3,0.03,"✓"
"benefit_5",9.3,0.03,"✓"
"memory",14.4,0.029,"✓"
"dbas_11",14.9,0.027,"✓"
"surps18",15.9,0.027,"✓"
"thinking",14.6,0.025,"✓"
"dbas_15",14.9,0.025,"✓"
"surps15",15.4,0.025,"✓"
"ciss18",16.1,0.025,"✓"
"desires_1",12.3,0.024,"✓"
"few_interests_r",14.9,0.024,"✓"
"motivation_1",12.3,0.023,"✓"
"capability",12.6,0.023,"✓"
"balance",14.9,0.023,"✓"
"alternative",14.9,0.023,"✓"
"interactions",14.9,0.023,"✓"
"surps9",15.4,0.023,"✓"
"surps21",15.9,0.023,"✓"
"surps22",15.9,0.023,"✓"
"desires_3",12.3,0.022,"✓"
"falls",14.9,0.022,"✓"
"dbas_6",14.9,0.022,"✓"
"dbas_9",14.9,0.022,"✓"
"surps2",15.1,0.022,"✓"
"driving",14.4,0.021,"✓"
"dbas_4",14.9,0.021,"✓"
"reserved_r",14.9,0.021,"✓"
"thorough",14.9,0.021,"✓"
"surps23_r",15.9,0.021,"✓"
"motivation_3",12.3,0.02,"✓"
"desires_2",12.6,0.02,"✓"
"surps19",15.9,0.02,"✓"
"ciss5",15.9,0.02,"✓"
"ciss14",16.1,0.02,"✓"
"dbas1",14.9,0.019,"✓"
"surps7_r",15.1,0.019,"✓"
"surps13_r",15.4,0.019,"✓"
"surps20_r",15.9,0.019,"✓"
"ciss12",16.1,0.019,"✓"
"capability_1",12.6,0.018,"✓"
"inf_pres",14.9,0.018,"✓"
"cost",15.9,0.018,"✓"
"outgoing",14.9,0.018,"✓"
"ciss10",15.9,0.018,"✓"
"ciss17",16.1,0.018,"✓"
"motivation_2",12.3,0.017,"✓"
"dbas_12",14.9,0.017,"✓"
"surps10",15.4,0.017,"✓"
"surps12",15.4,0.017,"✓"
"surps14",15.4,0.017,"✓"
"surps17",15.9,0.017,"✓"
"benefit_6",9.6,0.016,"✓"
"inf_rphc",14.9,0.016,"✓"
"dbas_3",14.9,0.016,"✓"
"surps6",15.1,0.016,"✓"
"ciss4",15.9,0.016,"✓"
"ciss19",16.1,0.016,"✓"
"dbas_8",14.9,0.015,"✓"
"lazy_r",14.9,0.015,"✓"
"relaxed_r",14.9,0.015,"✓"
"ciss13",16.1,0.015,"✓"
"dbas_2",14.9,0.014,"✓"
"dbas_13",14.9,0.014,"✓"
"dbas_16",14.9,0.014,"✓"
"nervous",14.9,0.014,"✓"
"surps11",15.4,0.014,"✓"
"surps16",15.4,0.014,"✓"
"ciss2",15.9,0.014,"✓"
"ciss8",15.9,0.014,"✓"
"ciss20",16.1,0.014,"✓"
"efficacy",14.9,0.013,"✓"
"ciss9",15.9,0.013,"✓"
"ciss15",16.1,0.013,"✓"
"activities",14.6,0.012,"✓"
"socialize",14.4,0.012,"✓"
"inf_soc",14.9,0.012,"✓"
"reduc",15.1,0.012,"✓"
"dbas_7",14.9,0.012,"✓"
"dbas_14",14.9,0.012,"✓"
"surps1_r",15.1,0.012,"✓"
"surps4_r",15.1,0.012,"✓"
"ciss1",15.9,0.012,"✓"
"indication",14.9,0.011,"✓"
"dbas_10",14.9,0.011,"✓"
"find_fault_r",14.9,0.011,"✓"
"surps3",15.1,0.011,"✓"
"surps5",15.1,0.011,"✓"
"ciss11",16.1,0.011,"✓"
"surps8",15.1,0.01,"✓"
"ciss6",15.9,0.01,"✓"
"ciss7",15.9,0.01,"✓"
"ciss3",15.9,0.009,"✓"
"ciss16",16.1,0.009,"✓"
"dependence",14.9,0.008,"✓"
"imagination",14.9,0.008,"✓"
"ciss21",16.1,0.008,"✓"
